num_of_innings,total_runs,opponent_runs,game_id,game_date,game_location,game_attendance,is_top,team,season,opponent_innings_played,opponent,full_game_runs,opponent_full_game_runs,average_fgr,average_fgr_allowed,win_percentage,is_sec_matchup,sec_win_percentage,sec_average_fgr,sec_average_fgr_allowed,lag_average_fgr,lag_average_fgr_allowed,lag_win_percentage,lag_sec_win_percentage,lag_sec_average_fgr,lag_sec_average_fgr_allowed,game_count,is_power_5,most_recent_era,days_since_era_update,ly_era,conference
4,11,0,894378,2012-02-11,"Tampa, Fla.",357,0,Florida,2012,5,Illinois St.,19.25,0,15.22,0,1,1,1,15.22,0,11.2,0,1,1,11.2,0,2,0,3.23,226,3.23,MVC
5,8,0,894379,2012-02-11,"Tampa, Fla.",343,0,Florida,2012,5,Maine,11.2,0,13.88,0,1,1,1,13.88,0,15.22,0,1,1,15.22,0,3,0,3.74,226,3.74,America East
7,6,5,894396,2012-02-11,"Tempe, Ariz.",324,1,Tennessee,2012,7,San Diego St.,6,5,5.04,4.5,0.75,1,0.75,5.04,4.5,4.72,4.33,0.67,0.67,4.72,4.33,4,0,2.75,226,2.75,Mountain West
8,2,1,894114,2012-02-11,"Athens, Ga.",191,0,Georgia,2012,8,St. John's (NY),1.75,0.875,12.25,0.29,1,1,1,12.25,0.29,17.5,0,1,1,17.5,0,3,0,5.4,226,5.4,AAC
7,5,1,894071,2012-02-11,"Waco, Texas",1097,1,Arkansas,2012,7,Baylor,5,1,9.47,3.07,0.67,1,0.67,9.47,3.07,11.7,4.1,0.5,0.5,11.7,4.1,3,1,1.52,226,1.52,Big 12
7,3,0,894123,2012-02-11,"Tempe, Ariz.",1319,1,Tennessee,2012,7,Arizona St.,3,0,4.63,3.6,0.8,1,0.8,4.63,3.6,5.04,4.5,0.75,0.75,5.04,4.5,5,1,1.87,226,1.87,Pac-12
5,9,0,894374,2012-02-11,"Tallahassee, Fla.",198,1,Ole Miss,2012,5,SFA,12.6,0,8.53,4.89,0.67,1,0.67,8.53,4.89,6.5,7.33,0.5,0.5,6.5,7.33,3,0,3.54,226,3.54,Southland
4,10,2,894407,2012-02-11,"Waco, Texas",383,0,Arkansas,2012,5,Iowa,17.5,2.8,11.47,3,0.75,1,0.75,11.47,3,9.47,3.07,0.67,0.67,9.47,3.07,4,1,3.27,226,3.27,Big Ten
6,2,0,894083,2012-02-11,"Auburn, Ala.",176,0,Auburn,2012,7,Purdue Fort Wayne,2.3333333333333335,0,9.33,1.87,1,1,1,9.33,1.87,11.67,2.49,1,1,11.67,2.49,4,0,2.89,226,2.89,Summit League
7,6,2,894416,2012-02-12,"Auburn, Ala.",104,1,Auburn,2012,7,App State,6,2,8.67,1.89,1,1,1,8.67,1.89,9.33,1.87,1,1,9.33,1.87,5,0,2.93,227,2.93,SoCon
6,7,4,894425,2012-02-12,"Columbia, SC",317,0,South Carolina,2012,7,Cleveland St.,8.166666666666666,4,5.08,4.33,0.5,1,0.5,5.08,4.33,2,4.67,0,0,2,4.67,2,0,2.19,227,2.19,Horizon
8,3,2,894426,2012-02-12,"Tampa, Fla.",1261,1,Florida,2012,8,South Fla.,2.625,1.75,11.07,0.44,1,1,1,11.07,0.44,13.88,0,1,1,13.88,0,4,0,2.46,227,2.46,AAC
5,8,0,894432,2012-02-12,"Baton Rouge, La.",1046,0,LSU,2012,5,Louisiana Tech,11.2,0,4.02,1.75,0.5,1,0.5,4.02,1.75,1.62,2.33,0.33,0.33,1.62,2.33,4,0,4,227,4,WAC
5,0,8,894435,2012-02-12,"Tallahassee, Fla.",178,1,Ole Miss,2012,5,Florida St.,0,11.2,6.4,6.47,0.5,1,0.5,6.4,6.47,8.53,4.89,0.67,0.67,8.53,4.89,4,1,2.66,227,2.66,ACC
7,5,0,894603,2012-02-12,"Tampa, Fla.",233,1,Florida,2012,7,FGCU,5,0,9.86,0.35,1,1,1,9.86,0.35,11.07,0.44,1,1,11.07,0.44,5,0,0,224,NA,NA
6,3,0,894594,2012-02-12,"MOBILE, Ala.",682,0,Alabama,2012,7,Jacksonville St.,3.5,0,12.25,1.52,1,1,1,12.25,1.52,15.17,2.02,1,1,15.17,2.02,4,0,2.74,227,2.74,OVC
6,9,6,894614,2012-02-12,"Tempe, Ariz.",342,0,Tennessee,2012,7,Western Mich.,10.5,6,5.61,4,0.83,1,0.83,5.61,4,4.63,3.6,0.8,0.8,4.63,3.6,6,0,4.35,227,4.35,MAC
4,8,0,894616,2012-02-12,"Waco, Texas",250,0,Arkansas,2012,5,Wichita St.,14,0,11.98,2.4,0.8,1,0.8,11.98,2.4,11.47,3,0.75,0.75,11.47,3,5,0,4.39,227,4.39,MVC
7,2,3,894438,2012-02-12,"Athens, Ga.",194,0,Georgia,2012,7,NC State,2,3,9.69,0.97,0.75,1,0.75,9.69,0.97,12.25,0.29,1,1,12.25,0.29,4,0,3.2,227,3.2,ACC
6,10,1,894422,2012-02-12,"Athens, Ga.",310,0,Georgia,2012,6,Campbell,11.666666666666666,1.1666666666666667,10.08,1.01,0.8,1,0.8,10.08,1.01,9.69,0.97,0.75,0.75,9.69,0.97,5,0,3.08,227,3.08,ASUN
7,9,6,894623,2012-02-12,"Mobile, AL",0,1,Mississippi St.,2012,7,Memphis,9,6,6.88,2.5,1,1,1,6.88,2.5,6.17,1.33,1,1,6.17,1.33,4,0,1.81,227,1.81,C-USA
7,6,3,894630,2012-02-14,"Birmingham, Ala.",482,1,Mississippi St.,2012,7,Samford,6,3,6.7,2.6,1,1,1,6.7,2.6,6.88,2.5,1,1,6.88,2.5,5,0,5.28,229,5.28,SoCon
6,10,2,894666,2012-02-15,"Gainesville, Fla.",809,0,Florida,2012,6,Jacksonville,11.666666666666666,2.3333333333333335,10.16,0.68,1,1,1,10.16,0.68,9.86,0.35,1,1,9.86,0.35,6,0,1.48,230,1.48,ASUN
7,6,3,894787,2012-02-17,"Boca Raton, FL",0,1,Kentucky,2012,7,Fla. Atlantic,6,3,2.4,7.39,0.4,1,0.4,2.4,7.39,1.5,8.49,0.25,0.25,1.5,8.49,5,0,2.6,232,2.6,Sun Belt
5,8,0,894791,2012-02-17,"Gainesville, Fla.",519,0,Florida,2012,5,Michigan St.,11.2,0,10.31,0.58,1,1,1,10.31,0.58,10.16,0.68,1,1,10.16,0.68,7,1,3.79,232,3.79,Big Ten
5,8,0,894802,2012-02-17,"Auburn, Ala.",0,0,Auburn,2012,5,Oklahoma St.,11.2,0,9.09,1.58,1,1,1,9.09,1.58,8.67,1.89,1,1,8.67,1.89,6,1,2.23,232,2.23,Big 12
6,6,1,894851,2012-02-17,"Athens, Ga.",253,0,Georgia,2012,7,Tennessee Tech,7,1,9.57,1.01,0.83,1,0.83,9.57,1.01,10.08,1.01,0.8,0.8,10.08,1.01,6,0,3.15,232,3.15,OVC
5,11,3,895008,2012-02-17,"Miami, Fla.",327,0,South Carolina,2012,5,Providence,15.4,4.2,8.52,4.29,0.67,1,0.67,8.52,4.29,5.08,4.33,0.5,0.5,5.08,4.33,3,0,4.47,232,4.47,AAC
